Rk,Team,Playoffs,AvAge,GP,GF,GA,SOW,SOL,SRS,SOS,GoalsperGame,EVGF,EVGA,PP,PPO,Pppercent,PPA,PPOA,Pkpercent,SH,SHA,PIMperG,oPIMperG,S,Sper,SA,Svper,SO,W,L,OL,PTS,PTSper
7,Washington Capitals*,1,28.4,82,256,238,3,1,0.21,-0.04,6.02,197,177,55,244,22.54,53,269,80.3,4,8,9.8,9.2,2379,10.8,2613,0.909,3,49,26,7,105,0.64
8,Anaheim Ducks*,1,28.7,82,231,209,4,7,0.24,0.01,5.37,183,159,38,214,17.76,46,274,83.21,10,4,10,8.6,2475,9.3,2716,0.923,9,44,25,13,101,0.616
9,Minnesota Wild*,1,29.5,82,250,229,3,3,0.29,0.04,5.84,194,172,49,240,20.42,51,272,81.25,7,6,8.3,7.6,2476,10.1,2569,0.911,6,45,26,11,101,0.616
10,San Jose Sharks*,1,28.8,82,247,226,5,3,0.28,0,5.77,186,189,53,257,20.62,34,224,84.82,8,3,7.7,8,2702,9.1,2488,0.909,6,45,27,10,100,0.61
11,Pittsburgh Penguins*,1,27.7,82,270,248,2,2,0.23,-0.04,6.32,196,192,68,260,26.15,53,265,80,6,3,9.5,9.1,2823,9.6,2553,0.903,4,47,29,6,100,0.61
12,Los Angeles Kings*,1,29.1,82,237,202,2,1,0.44,0,5.35,183,159,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,8,45,29,8,98,0.598
13,Philadelphia Flyers*,1,27.4,82,249,236,2,7,0.07,-0.03,5.91,192,172,54,261,20.69,54,223,75.78,3,10,8.3,9,2631,9.5,2448,0.904,3,42,26,14,98,0.598
14,New Jersey Devils*,1,27.7,82,243,240,5,4,0.02,-0.03,5.89,177,187,54,252,21.43,47,258,81.78,12,6,8.5,8.4,2599,9.3,2616,0.908,2,44,29,9,97,0.591
15,Columbus Blue Jackets*,1,26.4,82,236,226,6,4,0.11,-0.04,5.63,193,168,39,227,17.18,51,214,76.17,4,7,6.9,7.3,2761,8.5,2567,0.912,5,45,30,7,97,0.591
16,Florida Panthers,2,27.8,82,245,243,3,3,-0.01,-0.04,5.95,188,193,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,7,44,30,8,96,0.585
17,Colorado Avalanche*,1,26.4,82,255,236,2,1,0.28,0.04,5.99,183,178,65,296,21.96,45,269,83.27,7,13,8.9,9.8,2432,10.5,2731,0.914,5,43,30,9,95,0.579
18,St. Louis Blues,2,28.5,82,223,222,3,0,0.1,0.05,5.43,180,166,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,4,44,32,6,94,0.573
19,Dallas Stars,2,28.5,82,231,222,4,3,0.17,0.04,5.52,177,158,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9,2447,0.909,6,42,32,8,92,0.561
20,Calgary Flames,2,28.4,82,216,243,2,5,-0.33,0.03,5.6,166,187,43,269,15.99,49,269,81.78,7,7,11.1,11.2,2759,7.8,2554,0.905,3,37,35,10,84,0.512
21,Carolina Hurricanes,2,27,82,225,253,3,3,-0.35,-0.01,5.83,178,204,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2,36,35,11,83,0.506
22,New York Islanders,2,28.4,82,261,293,3,3,-0.4,-0.01,6.76,198,219,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2,35,37,10,80,0.488
23,Edmonton Oilers,2,26.8,82,229,262,5,1,-0.32,0.03,5.99,187,200,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1,36,40,6,78,0.476
24,New York Rangers,2,28.7,82,228,263,3,5,-0.46,-0.01,5.99,172,212,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,3,34,39,9,77,0.47
25,Chicago Blackhawks,2,28,82,228,254,1,2,-0.26,0.07,5.88,180,198,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2,33,39,10,76,0.463
26,Vancouver Canucks,2,28.2,82,218,259,0,5,-0.51,0.05,5.82,158,189,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,4,31,40,11,73,0.445
27,Detroit Red Wings,2,30.2,82,212,254,5,1,-0.48,-0.01,5.68,162,191,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4,30,39,13,73,0.445
28,Montreal Canadiens,2,27.8,82,207,258,2,6,-0.68,0,5.67,148,184,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4,29,40,13,71,0.433
29,Arizona Coyotes,2,26.5,82,206,251,2,5,-0.53,0.05,5.57,163,195,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5,29,41,12,70,0.427
30,Ottawa Senators,2,29.3,82,219,284,2,7,-0.85,0,6.13,174,222,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2,28,43,11,67,0.409
31,Buffalo Sabres,2,27.1,82,198,278,1,2,-0.98,0.01,5.8,140,216,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3,25,45,12,62,0.378
1,Washington Capitals*,1,28.4,82,261,177,2,5,0.99,0,5.34,199,130,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12,55,19,8,118,0.72
2,Pittsburgh Penguins*,1,28.7,82,278,229,4,5,0.59,0.01,6.18,213,170,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5,50,21,11,111,0.677
3,Chicago Blackhawks*,1,29.4,82,240,212,4,1,0.32,-0.06,5.51,197,158,42,233,18.03,47,211,77.73,1,7,7.1,7.9,2508,9.6,2574,0.918,4,50,23,9,109,0.665
4,Columbus Blue Jackets*,1,26.2,82,247,193,2,2,0.68,0.02,5.37,195,152,42,211,19.91,39,223,82.51,10,2,8.7,8.6,2540,9.7,2489,0.922,8,50,24,8,108,0.659
5,Minnesota Wild*,1,28.3,82,263,206,3,2,0.63,-0.08,5.72,211,166,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5,49,25,8,106,0.646
6,Anaheim Ducks*,1,27.6,82,220,197,3,3,0.24,-0.04,5.09,164,147,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8,46,23,13,105,0.64
